halo, total_mass, baryon_mass, particle_mass, star_mass 
[8138, 12299114.0544 Msun, 29306.0058446 Msun, 12269808.0485 Msun, 0]
[8139, 12647450.5778 Msun, 41483.4046453 Msun, 12605967.1731 Msun, 0]
[8140, 13123455.1707 Msun, 685567.559876 Msun, 12437887.6108 Msun, 0]
[8141, 14225312.8559 Msun, 106629.621988 Msun, 14118683.2339 Msun, 0]
[8142, 60164419.3416 Msun, 899380.767386 Msun, 59265038.5742 Msun, 200894907008783889761217444633047465984L]
[8143, 50214050.2556 Msun, 966738.499179 Msun, 49247311.7564 Msun, 0]
[8144, 15380303.4138 Msun, 85070.6333163 Msun, 15295232.7805 Msun, 0]
[8145, 11797226.362 Msun, 31657.0003732 Msun, 11765569.3616 Msun, 0]
[8146, 11595829.309 Msun, 166419.072043 Msun, 11429410.237 Msun, 0]
[8147, 12132297.4419 Msun, 30568.9557065 Msun, 12101728.4862 Msun, 0]
[8148, 13607924.3948 Msun, 161559.410111 Msun, 13446364.9847 Msun, 0]
[8149, 12997285.5319 Msun, 55159.234178 Msun, 12942126.2978 Msun, 0]
[8150, 11325351.0699 Msun, 64020.3952662 Msun, 11261330.6747 Msun, 0]
[8151, 13792618.0113 Msun, 10093.9020234 Msun, 13782524.1093 Msun, 0]
[8152, 17488550.3186 Msun, 176355.400847 Msun, 17312194.9178 Msun, 0]
[8153, 10254226.7225 Msun, 1373.42172197 Msun, 10252853.3008 Msun, 0]
[8154, 10590817.9503 Msun, 1805.52485118 Msun, 10589012.4254 Msun, 0]
[8155, 10765230.18 Msun, 8138.19227944 Msun, 10757091.9877 Msun, 0]
[8156, 10589907.7084 Msun, 895.282939857 Msun, 10589012.4254 Msun, 0]
[8157, 12954621.9712 Msun, 180575.235756 Msun, 12774046.7354 Msun, 0]
[8158, 12459119.4189 Msun, 21239.1977044 Msun, 12437880.2212 Msun, 0]
[8159, 292288461.653 Msun, 261361829.578 Msun, 30926632.0751 Msun, 0]
[8160, 26150533.9301 Msun, 98209.1619287 Msun, 26052324.7682 Msun, 0]
[8161, 10271392.6351 Msun, 18539.3343141 Msun, 10252853.3008 Msun, 0]
[8162, 10423217.4291 Msun, 2284.56598778 Msun, 10420932.8631 Msun, 0]
[8163, 65947912.4601 Msun, 153865.801072 Msun, 65794046.659 Msun, 149036890211753215646123860213983346688L]
[8164, 12322645.7769 Msun, 52837.7283554 Msun, 12269808.0485 Msun, 0]
[8165, 12800957.0492 Msun, 26910.3137906 Msun, 12774046.7354 Msun, 0]
[8166, 13344686.3637 Msun, 66400.9413406 Msun, 13278285.4224 Msun, 0]
[8167, 13209568.3743 Msun, 99362.5142678 Msun, 13110205.8601 Msun, 0]
[8168, 10291094.5505 Msun, 38241.2497056 Msun, 10252853.3008 Msun, 0]
[8169, 13179356.6162 Msun, 69150.7561637 Msun, 13110205.8601 Msun, 0]
[8170, 12782326.7444 Msun, 8280.0089409 Msun, 12774046.7354 Msun, 0]
[8171, 13665802.4407 Msun, 51357.8937281 Msun, 13614444.547 Msun, 0]
[8172, 14764970.121 Msun, 142048.200171 Msun, 14622921.9208 Msun, 0]
[8173, 13855689.4296 Msun, 409324.444901 Msun, 13446364.9847 Msun, 0]
[8174, 10898202.4953 Msun, 141110.507534 Msun, 10757091.9877 Msun, 0]
[8175, 10605202.0512 Msun, 16189.6257491 Msun, 10589012.4254 Msun, 0]
[8176, 13294659.5598 Msun, 16374.1374447 Msun, 13278285.4224 Msun, 0]
[8177, 13502058.4389 Msun, 55693.4542019 Msun, 13446364.9847 Msun, 0]
[8178, 55686457.65 Msun, 892520.337414 Msun, 54793937.3126 Msun, 0]
[8179, 12454777.7 Msun, 16890.0891751 Msun, 12437887.6108 Msun, 0]
[8180, 13402091.3761 Msun, 123805.953769 Msun, 13278285.4224 Msun, 0]
[8181, 11598876.7051 Msun, 1386.90583738 Msun, 11597489.7993 Msun, 0]
[8182, 11433114.3907 Msun, 3704.15370362 Msun, 11429410.237 Msun, 0]
[8183, 22520436.43 Msun, 165854.642991 Msun, 22354581.787 Msun, 0]
[8184, 11279724.1609 Msun, 18393.4862166 Msun, 11261330.6747 Msun, 0]
[8185, 18788229.1867 Msun, 299477.332742 Msun, 18488751.8539 Msun, 0]
[8186, 10654791.0012 Msun, 65778.5758118 Msun, 10589012.4254 Msun, 0]
[8187, 13131140.4479 Msun, 189014.150139 Msun, 12942126.2978 Msun, 0]
[8188, 16413504.5792 Msun, 109787.035302 Msun, 16303717.5439 Msun, 0]
[8189, 36942845.0323 Msun, 2318455.19676 Msun, 34624389.8355 Msun, 0]
[8190, 18213021.4204 Msun, 1068906.06491 Msun, 17144115.3555 Msun, 0]
[8191, 10310412.5617 Msun, 57559.2608918 Msun, 10252853.3008 Msun, 0]
[8192, 10264221.2375 Msun, 11367.9367069 Msun, 10252853.3008 Msun, 0]
[8193, 12918330.7493 Msun, 144284.013811 Msun, 12774046.7354 Msun, 0]
[8194, 12698783.4575 Msun, 92823.6740044 Msun, 12605959.7835 Msun, 0]
[8195, 16430942.4916 Msun, 127224.947675 Msun, 16303717.5439 Msun, 0]
[8196, 10507983.1068 Msun, 87050.243671 Msun, 10420932.8631 Msun, 0]
[8197, 10100686.322 Msun, 15912.5835211 Msun, 10084773.7385 Msun, 0]
[8198, 10304148.1414 Msun, 51294.8406134 Msun, 10252853.3008 Msun, 0]
[8199, 10946581.6096 Msun, 21410.0595048 Msun, 10925171.5501 Msun, 0]
[8200, 10760474.8684 Msun, 3382.8806395 Msun, 10757091.9877 Msun, 0]
[8201, 10613979.5428 Msun, 24967.1173794 Msun, 10589012.4254 Msun, 0]
[8202, 12785779.9296 Msun, 11733.1942027 Msun, 12774046.7354 Msun, 0]
[8203, 10094628.4153 Msun, 9854.67684078 Msun, 10084773.7385 Msun, 0]
[8204, 13219440.0174 Msun, 109234.157355 Msun, 13110205.8601 Msun, 0]
[8205, 16416449.8683 Msun, 280811.886686 Msun, 16135637.9816 Msun, 0]
[8206, 11460253.5199 Msun, 30843.2829074 Msun, 11429410.237 Msun, 0]
[8207, 13138295.9259 Msun, 28090.065825 Msun, 13110205.8601 Msun, 0]
[8208, 102842335.807 Msun, 1610674.40275 Msun, 101231661.404 Msun, 94976473596004187734414722632867905536L]
[8209, 12110603.0344 Msun, 8874.54818947 Msun, 12101728.4862 Msun, 0]
[8210, 71261097.5187 Msun, 296973.956741 Msun, 70964123.562 Msun, 68696323626062386932329234591542935552L]
[8211, 10598364.4177 Msun, 9351.99229453 Msun, 10589012.4254 Msun, 0]
[8212, 10266714.9873 Msun, 13861.6865073 Msun, 10252853.3008 Msun, 0]
[8213, 12671144.7722 Msun, 65177.5990578 Msun, 12605967.1731 Msun, 0]
[8214, 12283332.4325 Msun, 13524.3839722 Msun, 12269808.0485 Msun, 0]
[8215, 10149312.8609 Msun, 64539.1224084 Msun, 10084773.7385 Msun, 0]
[8216, 10257648.7715 Msun, 4795.47064205 Msun, 10252853.3008 Msun, 0]
[8217, 12866919.344 Msun, 92872.608583 Msun, 12774046.7354 Msun, 0]
[8218, 12105935.8097 Msun, 4207.32347746 Msun, 12101728.4862 Msun, 0]
[8219, 33251331.9754 Msun, 4677806.38298 Msun, 28573525.5924 Msun, 0]
[8220, 10209939.4157 Msun, 125165.677226 Msun, 10084773.7385 Msun, 0]
