halo, total_mass, baryon_mass, particle_mass, star_mass 
[132, 7.63554629763e+11 Msun, 1.01953371781e+11 Msun, 6.61601257983e+11 Msun, 0]
[133, 4.63985692155e+11 Msun, 75699417959.4 Msun, 3.88286274196e+11 Msun, 0]
[134, 7.04704104117e+11 Msun, 1.09882577689e+11 Msun, 5.94821526428e+11 Msun, 0]
[135, 9.01842780067e+11 Msun, 1.39727699332e+11 Msun, 7.62115080735e+11 Msun, 0]
[136, 5.88286876583e+11 Msun, 54737474984.6 Msun, 5.33549401599e+11 Msun, 0]
[137, 7.36488582858e+11 Msun, 1.4166705643e+11 Msun, 5.94821526428e+11 Msun, 0]
[138, 5.95823643894e+11 Msun, 84993120040.4 Msun, 5.10830523853e+11 Msun, 0]
[139, 5.53757720836e+11 Msun, 62892271365.1 Msun, 4.90865449471e+11 Msun, 0]
[140, 6.57599390816e+11 Msun, 82742938771.0 Msun, 5.74856452045e+11 Msun, 0]
[141, 5.58811376565e+11 Msun, 72765082979.8 Msun, 4.86046293585e+11 Msun, 0]
[142, 6.61792887348e+11 Msun, 88313336984.7 Msun, 5.73479550364e+11 Msun, 0]
[143, 6.71340303975e+11 Msun, 88910892681.1 Msun, 5.82429411294e+11 Msun, 0]
[144, 4.69382558815e+11 Msun, 45296840898.9 Msun, 4.24085717916e+11 Msun, 0]
[145, 7.44646445851e+11 Msun, 93371950480.4 Msun, 6.51274495371e+11 Msun, 0]
[146, 2.60651044164e+12 Msun, 2.52008566197e+11 Msun, 2.35450187544e+12 Msun, 0]
[147, 7.53480576961e+11 Msun, 88437064774.4 Msun, 6.65043512186e+11 Msun, 0]
[148, 1.82645116466e+12 Msun, 2.46198363005e+11 Msun, 1.58025280165e+12 Msun, 0]
[149, 5.48429371478e+11 Msun, 67890684618.6 Msun, 4.80538686859e+11 Msun, 0]
[150, 2.04023203411e+12 Msun, 3.61100433465e+11 Msun, 1.67913160064e+12 Msun, 0]
[151, 2.12068617655e+12 Msun, 3.90609213692e+11 Msun, 1.73007696286e+12 Msun, 0]
[152, 6.79275008123e+11 Msun, 84453481695.0 Msun, 5.94821526428e+11 Msun, 0]
[153, 8.2324928773e+11 Msun, 1.16752361668e+11 Msun, 7.06496926062e+11 Msun, 0]
[154, 5.32497789951e+11 Msun, 64351218225.3 Msun, 4.68146571725e+11 Msun, 0]
[155, 5.02654951617e+11 Msun, 40015986617.5 Msun, 4.62638964999e+11 Msun, 0]
[156, 1.11525228571e+12 Msun, 1.94105060754e+11 Msun, 9.21147224954e+11 Msun, 0]
[157, 1.83524134181e+12 Msun, 3.14453434548e+11 Msun, 1.52078790727e+12 Msun, 0]
[158, 1.52551738418e+12 Msun, 2.42933467818e+11 Msun, 1.28258391636e+12 Msun, 0]
[159, 7.02723002741e+11 Msun, 90690205294.6 Msun, 6.12032797447e+11 Msun, 0]
[160, 5.60747257033e+11 Msun, 89158431104.0 Msun, 4.71588825929e+11 Msun, 0]
[161, 5.86501409708e+12 Msun, 9.64621012461e+11 Msun, 4.90039308462e+12 Msun, 0]
[162, 5.76522320481e+11 Msun, 78083911761.6 Msun, 4.98438408719e+11 Msun, 0]
[163, 4.98774488345e+11 Msun, 10662842236.8 Msun, 4.88111646108e+11 Msun, 0]
[164, 2.69817575267e+12 Msun, 4.22845723919e+11 Msun, 2.27533002875e+12 Msun, 0]
[165, 6.33504559398e+11 Msun, 72417124168.2 Msun, 5.6108743523e+11 Msun, 0]
